"employee_id","first_name","last_name","email","phone_number","date_of_birth","ssn","address","department","salary","password"
"879182","Tamara","Ramirez","brandiross@example.com","4887247851","1987-06-24","393-84-2984","Unit 7465 Box 5993, DPO AA 31031","Engineering","140395","WMR)uwCN6eWA"
"988915","Marco","Jackson","nicole15@example.net","947.368.8372x14780","1974-08-07","802-33-7778","0058 Travis Cove, North Marcstad, NM 86211","Engineering","36012","mVUOzl8%)6CH"
"499550","Matthew","Friedman","welchemily@example.net","(847)480-0958x63149","1966-04-10","427-17-2827","0639 Arnold Forest Apt. 337, Christown, LA 84098","Engineering","103710","2h!)BJCi*swB"
"559664","Michael","Diaz","banderson@example.com","912-887-9554","1966-09-28","474-64-1390","3858 Anna Walk Apt. 090, Clarkfort, KS 78339","Marketing","97927","6mFoEGc19$i7"
"561389","Sarah","Mcdaniel","lopezjason@example.org","(455)597-6602","2001-04-04","828-12-7672","587 Mary Prairie Apt. 655, Browntown, NV 13319","Finance","52343","P(WPPtO3JYU8"
"131981","Christopher","Dalton","ldavenport@example.com","(419)456-3599","2002-12-20","128-85-6314","249 Owens Fields Suite 348, North Christopherville, VT 79409","IT Support","76871","@l(gIndD&6Z&"
"882060","Evan","Perez","michaelrogers@example.com","(275)565-0742x322","1976-03-28","750-25-4194","USS Mercer, FPO AE 49864","Sales","145022","09WDO8m*#QVd"
"614693","John","Beltran","wileybrittany@example.net","859.704.9164","1988-12-14","692-56-0527","146 Davis Trace Suite 652, Pruittfort, OH 35964","IT Support","102557","3@3bIsg&I+^B"
"396166","Duane","Castro","claire67@example.org","650.390.7669x0504","1981-04-11","615-91-1868","5965 Ramos Square Suite 219, Port Gail, IL 99522","HR","149667","%D79Afxy5vIZ"
"408957","Joseph","Young","jenniferbrown@example.net","001-422-935-9799x9033","2003-02-03","854-71-9090","9400 Donald Causeway, East Joseph, MP 49559","Engineering","142766","a+N6k*prB)0S"
"789284","Pamela","Cunningham","elizabeth32@example.net","6312338820","2003-09-14","113-10-7818","Unit 9894 Box 2469, DPO AE 49575","Sales","144446","X3ZWBDyD+z6$"
"436286","Wendy","Taylor","jessica16@example.org","(758)766-2138x971","1960-05-21","613-79-5185","USCGC Weaver, FPO AP 46055","IT Support","110856","ah2Qf3cNQ^UF"
"306168","Cody","Collins","dannynewton@example.com","615-892-8430","1964-02-27","513-79-1593","2278 Jennifer Station, Ricehaven, WY 27463","Sales","36442","N4xJr2fPa14("
"663867","Robin","George","williamcarlson@example.org","001-478-645-3153x08491","1975-01-16","253-04-2097","USNS Harvey, FPO AA 01466","HR","74901","3d8&epqh**LN"
"165663","Shannon","Bennett","kylehammond@example.com","001-226-670-2162x8672","1965-07-19","234-96-7864","947 Caldwell Station, West Kimberlyport, NC 83181","Marketing","69157","&vMSizWZC9cE"
"649654","Logan","Williamson","adam68@example.net","(536)474-5960x44943","1996-12-23","772-70-4373","PSC 4399, Box 9162, APO AA 91751","Finance","119330","%zVm0ddC2jH&"
"610488","Robert","Walker","clarktraci@example.com","250-809-4489x20607","1988-05-04","208-07-0807","975 Parker Glens Suite 736, Fieldsfort, IN 28589","Engineering","114340","b1WU2c3N+mmu"
"574773","Jeffrey","Fowler","vrogers@example.com","+1-530-834-5003x735","1963-12-06","538-38-7962","493 Robert Forest, Jerryhaven, FL 40605","IT Support","127614","(o&uBwV6V0EA"
"31444","Megan","Jordan","deleonkevin@example.net","309-749-4006x32601","1966-02-27","459-22-4929","3003 Duncan Shore, New Bradley, SD 39924","IT Support","146027","$p3Qa50F#y6K"
"52901","Timothy","Cuevas","marshallashley@example.com","+1-415-393-7624x92670","1963-07-28","804-36-3749","3907 Hannah Drive Suite 824, Johnnyberg, TX 39549","IT Support","35934",")+^ihzntk0kU"
